Word,Age Group,Difficulty Level
element,9-10 years,Moderate
wind,5-6 years,Moderate
just,5-6 years,Moderate
interested,11-12 years,Hard
researcher,11-12 years,Hard
capital,9-10 years,Moderate
hill,5-6 years,Moderate
basic,7-8 years,Moderate
engage,7-8 years,Moderate
smile,7-8 years,Moderate
contract,9-10 years,Moderate
apple,7-8 years,Moderate
sales,7-8 years,Moderate
lake,5-6 years,Moderate
gain,5-6 years,Moderate
location,9-10 years,Moderate
otherwise,11-12 years,Moderate
highly,7-8 years,Moderate
cry,5-6 years,Moderate
associate,11-12 years,Moderate
connection,11-12 years,Hard
smart,7-8 years,Moderate
ride,5-6 years,Moderate
presence,9-10 years,Moderate
crowd,7-8 years,Moderate
border,7-8 years,Moderate
website,9-10 years,Moderate
relation,9-10 years,Moderate
volume,7-8 years,Moderate
extra,7-8 years,Moderate
hire,5-6 years,Moderate
forest,7-8 years,Moderate
focus,7-8 years,Moderate
advice,7-8 years,Moderate
enemy,7-8 years,Moderate
female,7-8 years,Moderate
glad,5-6 years,Moderate
kick,5-6 years,Moderate
actor,7-8 years,Moderate
topic,7-8 years,Moderate
session,9-10 years,Moderate
wine,5-6 years,Moderate
youth,7-8 years,Moderate
extend,7-8 years,Moderate
surprise,9-10 years,Moderate
slightly,9-10 years,Moderate
lift,5-6 years,Moderate
excuse,7-8 years,Moderate
desire,7-8 years,Moderate
anywhere,9-10 years,Moderate
grand,7-8 years,Moderate
angry,7-8 years,Moderate
struggle,9-10 years,Moderate
neck,5-6 years,Moderate
generate,9-10 years,Moderate
literature,11-12 years,Hard
capture,9-10 years,Moderate
studio,7-8 years,Moderate
circle,7-8 years,Moderate
colleague,11-12 years,Moderate
works,7-8 years,Moderate
comfortable,11-12 years,Hard
teaching,9-10 years,Moderate
live,5-6 years,Moderate
zone,5-6 years,Moderate
minority,9-10 years,Moderate
gender,7-8 years,Moderate
domestic,9-10 years,Moderate
percentage,11-12 years,Hard
request,9-10 years,Moderate
fee,5-6 years,Moderate
tooth,7-8 years,Moderate
self,5-6 years,Moderate
chapter,9-10 years,Moderate
shift,7-8 years,Moderate
convention,11-12 years,Hard
scream,7-8 years,Moderate
extent,7-8 years,Moderate
accuse,7-8 years,Moderate
farmer,7-8 years,Moderate
contribution,11-12 years,Hard
question,9-10 years,Moderate
era,5-6 years,Moderate
expose,7-8 years,Moderate
guide,7-8 years,Moderate
escape,7-8 years,Moderate
eliminate,11-12 years,Moderate
pretty,7-8 years,Moderate
muscle,7-8 years,Moderate
far,5-6 years,Moderate
cycle,7-8 years,Moderate
judgment,9-10 years,Moderate
lie,5-6 years,Moderate
hand,5-6 years,Moderate
fast,5-6 years,Moderate
basketball,11-12 years,Hard
quote,7-8 years,Moderate
immigration,11-12 years,Hard
separate,9-10 years,Moderate
flow,5-6 years,Moderate
technical,11-12 years,Moderate
mark,5-6 years,Moderate
soil,5-6 years,Moderate
selection,11-12 years,Moderate
resolution,11-12 years,Hard
dude,5-6 years,Moderate
slow,5-6 years,Moderate
essentially,11-12 years,Hard
offense,9-10 years,Moderate
fairly,7-8 years,Moderate
pregnant,9-10 years,Moderate
deficit,9-10 years,Moderate
philosophy,11-12 years,Hard
prosecutor,11-12 years,Hard
knife,7-8 years,Moderate
housing,9-10 years,Moderate
pop,5-6 years,Moderate
publication,11-12 years,Hard
beneath,9-10 years,Moderate
pepper,7-8 years,Moderate
accomplish,11-12 years,Hard
consist,9-10 years,Moderate
engineering,11-12 years,Hard
jail,5-6 years,Moderate
brief,7-8 years,Moderate
shout,7-8 years,Moderate
avenue,7-8 years,Moderate
scholar,9-10 years,Moderate
illness,9-10 years,Moderate
awesome,9-10 years,Moderate
designer,9-10 years,Moderate
retire,7-8 years,Moderate
incredible,11-12 years,Hard
rarely,7-8 years,Moderate
giant,7-8 years,Moderate
stream,7-8 years,Moderate
twitter,9-10 years,Moderate
accurate,9-10 years,Moderate
pay,5-6 years,Moderate
another,9-10 years,Moderate
potentially,11-12 years,Hard
slide,7-8 years,Moderate
rather,7-8 years,Moderate
reputation,11-12 years,Hard
giant,7-8 years,Moderate
fishing,9-10 years,Moderate
stranger,9-10 years,Moderate
rape,5-6 years,Moderate
negotiation,11-12 years,Hard
sequence,9-10 years,Moderate
weigh,7-8 years,Moderate
electronic,11-12 years,Hard
impression,11-12 years,Hard
visible,9-10 years,Moderate
restore,9-10 years,Moderate
sauce,7-8 years,Moderate
detect,7-8 years,Moderate
apologize,11-12 years,Moderate
airline,9-10 years,Moderate
cent,5-6 years,Moderate
grandmother,11-12 years,Hard
manufacturer,11-12 years,Hard
roll,5-6 years,Moderate
terrorist,11-12 years,Moderate
violate,9-10 years,Moderate
unlikely,9-10 years,Moderate
idiot,7-8 years,Moderate
stadium,9-10 years,Moderate
mix,5-6 years,Moderate
incorporate,11-12 years,Hard
taste,7-8 years,Moderate
possess,9-10 years,Moderate
stake,7-8 years,Moderate
developer,11-12 years,Moderate
tiger,7-8 years,Moderate
administrator,11-12 years,Hard
publisher,11-12 years,Moderate
variation,11-12 years,Moderate
tomato,7-8 years,Moderate
contest,9-10 years,Moderate
load,5-6 years,Moderate
narrator,9-10 years,Moderate
surprise,9-10 years,Moderate
purchase,9-10 years,Moderate
fate,5-6 years,Moderate
surprising,11-12 years,Hard
adapt,7-8 years,Moderate
random,7-8 years,Moderate
smell,7-8 years,Moderate
tourist,9-10 years,Moderate
stable,7-8 years,Moderate
update,7-8 years,Moderate
friendship,11-12 years,Hard
humor,7-8 years,Moderate
chemical,9-10 years,Moderate
silly,7-8 years,Moderate
lifestyle,11-12 years,Moderate
crap,5-6 years,Moderate
imagination,11-12 years,Hard
drawing,9-10 years,Moderate
guide,7-8 years,Moderate
segment,9-10 years,Moderate
slight,7-8 years,Moderate
can,5-6 years,Moderate
sue,5-6 years,Moderate
notice,7-8 years,Moderate
canadian,9-10 years,Moderate
pill,5-6 years,Moderate
terrorist,11-12 years,Moderate
decrease,9-10 years,Moderate
dumb,5-6 years,Moderate
furthermore,11-12 years,Hard
tactic,7-8 years,Moderate
nerve,7-8 years,Moderate
aircraft,9-10 years,Moderate
duke,5-6 years,Moderate
furniture,11-12 years,Moderate
garage,7-8 years,Moderate
allegation,11-12 years,Hard
fake,5-6 years,Moderate
grant,7-8 years,Moderate
patient,9-10 years,Moderate
whoever,9-10 years,Moderate
membership,11-12 years,Hard
makeup,7-8 years,Moderate
mall,5-6 years,Moderate
courage,9-10 years,Moderate
mainstream,11-12 years,Hard
delay,7-8 years,Moderate
communist,11-12 years,Moderate
palestinian,11-12 years,Hard
till,5-6 years,Moderate
function,9-10 years,Moderate
soccer,7-8 years,Moderate
uncomfortable,11-12 years,Hard
gospel,7-8 years,Moderate
fabric,7-8 years,Moderate
admire,7-8 years,Moderate
hunter,7-8 years,Moderate
virtual,9-10 years,Moderate
athletic,9-10 years,Moderate
sword,7-8 years,Moderate
dose,5-6 years,Moderate
grave,7-8 years,Moderate
absorb,7-8 years,Moderate
nominee,9-10 years,Moderate
nail,5-6 years,Moderate
resign,7-8 years,Moderate
hardware,9-10 years,Moderate
snake,7-8 years,Moderate
depict,7-8 years,Moderate
gradually,11-12 years,Moderate
starting,9-10 years,Moderate
rescue,7-8 years,Moderate
praise,7-8 years,Moderate
van,5-6 years,Moderate
counsel,9-10 years,Moderate
motive,7-8 years,Moderate
chronic,9-10 years,Moderate
cave,5-6 years,Moderate
driving,9-10 years,Moderate
tag,5-6 years,Moderate
precious,9-10 years,Moderate
agricultural,11-12 years,Hard
rape,5-6 years,Moderate
powder,7-8 years,Moderate
govern,7-8 years,Moderate
butt,5-6 years,Moderate
nonetheless,11-12 years,Hard
speed,7-8 years,Moderate
civilian,9-10 years,Moderate
compound,9-10 years,Moderate
upstairs,9-10 years,Moderate
tune,5-6 years,Moderate
jeans,7-8 years,Moderate
ranch,7-8 years,Moderate
pitcher,9-10 years,Moderate
behavioral,11-12 years,Hard
advertisement,11-12 years,Hard
blow,5-6 years,Moderate
bitter,7-8 years,Moderate
treasury,9-10 years,Moderate
walking,9-10 years,Moderate
greek,7-8 years,Moderate
estimated,11-12 years,Moderate
frame,7-8 years,Moderate
republican,11-12 years,Hard
consent,9-10 years,Moderate
banking,9-10 years,Moderate
apology,9-10 years,Moderate
inspector,11-12 years,Moderate
convey,7-8 years,Moderate
eating,7-8 years,Moderate
custody,9-10 years,Moderate
horn,5-6 years,Moderate
liability,11-12 years,Moderate
considering,11-12 years,Hard
retrieve,9-10 years,Moderate
goodness,9-10 years,Moderate
repair,7-8 years,Moderate
slavery,9-10 years,Moderate
seal,5-6 years,Moderate
entrepreneur,11-12 years,Hard
unity,7-8 years,Moderate
treasure,9-10 years,Moderate
exploration,11-12 years,Hard
upcoming,9-10 years,Moderate
cruise,7-8 years,Moderate
electrical,11-12 years,Hard
attraction,11-12 years,Hard
needle,7-8 years,Moderate
magnitude,11-12 years,Moderate
senior,7-8 years,Moderate
chase,7-8 years,Moderate
credibility,11-12 years,Hard
pursuit,9-10 years,Moderate
broadcast,11-12 years,Moderate
repair,7-8 years,Moderate
alright,9-10 years,Moderate
frozen,7-8 years,Moderate
theology,9-10 years,Moderate
registration,11-12 years,Hard
beam,5-6 years,Moderate
carbohydrate,11-12 years,Hard
cloth,7-8 years,Moderate
thief,7-8 years,Moderate
electoral,11-12 years,Moderate
homework,9-10 years,Moderate
continent,11-12 years,Moderate
accusation,11-12 years,Hard
jaw,5-6 years,Moderate
dot,5-6 years,Moderate
sibling,9-10 years,Moderate
thoroughly,11-12 years,Hard
feed,5-6 years,Moderate
popularity,11-12 years,Hard
poorly,7-8 years,Moderate
stem,5-6 years,Moderate
presumably,11-12 years,Hard
sculpture,11-12 years,Moderate
bad,5-6 years,Moderate
practitioner,11-12 years,Hard
conscience,11-12 years,Hard
transport,11-12 years,Moderate
puzzle,7-8 years,Moderate
slice,7-8 years,Moderate
blend,7-8 years,Moderate
elder,7-8 years,Moderate
conversion,11-12 years,Hard
lightning,11-12 years,Moderate
instruct,9-10 years,Moderate
curiosity,11-12 years,Moderate
speculation,11-12 years,Hard
ipad,5-6 years,Moderate
cafe,5-6 years,Moderate
specialize,11-12 years,Hard
installation,11-12 years,Hard
banker,7-8 years,Moderate
dying,7-8 years,Moderate
halloween,11-12 years,Moderate
unclear,9-10 years,Moderate
guardian,9-10 years,Moderate
emotionally,11-12 years,Hard
verdict,9-10 years,Moderate
eighth,7-8 years,Moderate
chunk,7-8 years,Moderate
throne,7-8 years,Moderate
collector,11-12 years,Moderate
whip,5-6 years,Moderate
courtroom,11-12 years,Moderate
doorway,9-10 years,Moderate
thou,5-6 years,Moderate
plea,5-6 years,Moderate
destiny,9-10 years,Moderate
countless,11-12 years,Moderate
emperor,9-10 years,Moderate
discourage,11-12 years,Hard
dough,7-8 years,Moderate
balloon,9-10 years,Moderate
sudden,7-8 years,Moderate
leak,5-6 years,Moderate
usage,7-8 years,Moderate
eyebrow,9-10 years,Moderate
align,7-8 years,Moderate
predator,9-10 years,Moderate
broker,7-8 years,Moderate
wallet,7-8 years,Moderate
haul,5-6 years,Moderate
rib,5-6 years,Moderate
supporting,11-12 years,Hard
outbreak,9-10 years,Moderate
weaken,7-8 years,Moderate
editorial,11-12 years,Moderate
authentic,11-12 years,Moderate
scent,7-8 years,Moderate
surrender,11-12 years,Moderate
shh,5-6 years,Moderate
reasonably,11-12 years,Hard
taxi,5-6 years,Moderate
utterly,9-10 years,Moderate
bow,5-6 years,Moderate
plaintiff,11-12 years,Moderate
lesser,7-8 years,Moderate
frustrate,11-12 years,Moderate
audio,7-8 years,Moderate
subsequently,11-12 years,Hard
inclusion,11-12 years,Moderate
miserable,11-12 years,Moderate
patron,7-8 years,Moderate
absurd,7-8 years,Moderate
shrimp,7-8 years,Moderate
developed,11-12 years,Moderate
distress,9-10 years,Moderate
metropolitan,11-12 years,Hard
isolated,9-10 years,Moderate
swimming,9-10 years,Moderate
flu,5-6 years,Moderate
tweet,7-8 years,Moderate
tenure,7-8 years,Moderate
cooperative,11-12 years,Hard
integrated,11-12 years,Hard
egyptian,9-10 years,Moderate
pumpkin,9-10 years,Moderate
tighten,9-10 years,Moderate
contemplate,11-12 years,Hard
stove,7-8 years,Moderate
coup,5-6 years,Moderate
worldwide,11-12 years,Moderate
reason,7-8 years,Moderate
supplement,11-12 years,Hard
circle,7-8 years,Moderate
affection,11-12 years,Moderate
endorsement,11-12 years,Hard
compensate,11-12 years,Hard
justification,11-12 years,Hard
managing,9-10 years,Moderate
neglect,9-10 years,Moderate
atheist,9-10 years,Moderate
spider,7-8 years,Moderate
fulfil,7-8 years,Moderate
sovereignty,11-12 years,Hard
straighten,11-12 years,Hard
summarize,11-12 years,Moderate
sketch,7-8 years,Moderate
erase,7-8 years,Moderate
immigrant,11-12 years,Moderate
parenting,11-12 years,Moderate
spike,7-8 years,Moderate
polling,9-10 years,Moderate
sofa,5-6 years,Moderate
thy,5-6 years,Moderate
great,7-8 years,Moderate
grade,7-8 years,Moderate
transparent,11-12 years,Hard
plunge,7-8 years,Moderate
humanitarian,11-12 years,Hard
jerk,5-6 years,Moderate
explorer,9-10 years,Moderate
partisan,9-10 years,Moderate
precedent,11-12 years,Moderate
nursing,9-10 years,Moderate
span,5-6 years,Moderate
empower,9-10 years,Moderate
kilometer,11-12 years,Moderate
spark,7-8 years,Moderate
hometown,9-10 years,Moderate
manipulation,11-12 years,Hard
seminar,9-10 years,Moderate
trim,5-6 years,Moderate
prospective,11-12 years,Hard
tub,5-6 years,Moderate
obsession,11-12 years,Moderate
liberation,11-12 years,Hard
vinegar,9-10 years,Moderate
ethnicity,11-12 years,Moderate
total,7-8 years,Moderate
sympathetic,11-12 years,Hard
kidnap,7-8 years,Moderate
kind,5-6 years,Moderate
realization,11-12 years,Hard
bipartisan,11-12 years,Hard
cohort,7-8 years,Moderate
fish,5-6 years,Moderate
vow,5-6 years,Moderate
comet,7-8 years,Moderate
ground,7-8 years,Moderate
genome,7-8 years,Moderate
prey,5-6 years,Moderate
misery,7-8 years,Moderate
dioxide,9-10 years,Moderate
handy,7-8 years,Moderate
revision,9-10 years,Moderate
glorious,9-10 years,Moderate
cinema,7-8 years,Moderate
sour,5-6 years,Moderate
shaft,7-8 years,Moderate
spokeswoman,11-12 years,Hard
handling,9-10 years,Moderate
translator,11-12 years,Hard
bully,7-8 years,Moderate
collision,11-12 years,Moderate
collaborate,11-12 years,Hard
bureaucracy,11-12 years,Hard
thanks,7-8 years,Moderate
timber,7-8 years,Moderate
google,7-8 years,Moderate
faction,9-10 years,Moderate
premiere,9-10 years,Moderate
puppet,7-8 years,Moderate
secretly,9-10 years,Moderate
consultation,11-12 years,Hard
deaf,5-6 years,Moderate
median,7-8 years,Moderate
renewable,11-12 years,Moderate
paid,5-6 years,Moderate
broadly,9-10 years,Moderate
umbrella,9-10 years,Moderate
scrape,7-8 years,Moderate
assurance,11-12 years,Moderate
slate,7-8 years,Moderate
sleeping,9-10 years,Moderate
maple,7-8 years,Moderate
misleading,11-12 years,Hard
ruling,7-8 years,Moderate
skiing,7-8 years,Moderate
inning,7-8 years,Moderate
email,7-8 years,Moderate
amend,7-8 years,Moderate
embarrassment,11-12 years,Hard
overturn,9-10 years,Moderate
aloud,7-8 years,Moderate
mug,5-6 years,Moderate
peculiar,9-10 years,Moderate
overweight,11-12 years,Hard
nazi,5-6 years,Moderate
qualitative,11-12 years,Hard
stink,7-8 years,Moderate
corresponding,11-12 years,Hard
whisper,9-10 years,Moderate
exile,7-8 years,Moderate
encouragement,11-12 years,Hard
distinguished,11-12 years,Hard
briefing,9-10 years,Moderate
vine,5-6 years,Moderate
opposing,9-10 years,Moderate
dictator,9-10 years,Moderate
satisfying,11-12 years,Hard
keen,5-6 years,Moderate
oppression,11-12 years,Hard
feminine,9-10 years,Moderate
scoring,9-10 years,Moderate
dim,5-6 years,Moderate
standpoint,11-12 years,Hard
prohibition,11-12 years,Hard
charitable,11-12 years,Hard
reported,9-10 years,Moderate
massacre,9-10 years,Moderate
primitive,11-12 years,Moderate
printing,9-10 years,Moderate
terminate,11-12 years,Moderate
referendum,11-12 years,Hard
validate,9-10 years,Moderate
comprehend,11-12 years,Hard
referral,9-10 years,Moderate
notorious,11-12 years,Moderate
severity,9-10 years,Moderate
implant,9-10 years,Moderate
wrestling,11-12 years,Moderate
magnet,7-8 years,Moderate
livestock,11-12 years,Moderate
whistle,9-10 years,Moderate
inconsistent,11-12 years,Hard
surplus,9-10 years,Moderate
nursery,9-10 years,Moderate
flashlight,11-12 years,Hard
syrup,7-8 years,Moderate
anchor,7-8 years,Moderate
millionaire,11-12 years,Hard
independent,11-12 years,Hard
wrestle,9-10 years,Moderate
intercept,11-12 years,Moderate
called,7-8 years,Moderate
burial,7-8 years,Moderate
tester,7-8 years,Moderate
pew,5-6 years,Moderate
conditioning,11-12 years,Hard
worthwhile,11-12 years,Hard
tracking,9-10 years,Moderate
dwarf,7-8 years,Moderate
nationwide,11-12 years,Hard
thermal,9-10 years,Moderate
definitive,11-12 years,Hard
intern,7-8 years,Moderate
networking,11-12 years,Hard
remnant,9-10 years,Moderate
garment,9-10 years,Moderate
niece,7-8 years,Moderate
ozone,7-8 years,Moderate
pod,5-6 years,Moderate
substantive,11-12 years,Hard
pair,5-6 years,Moderate
underway,9-10 years,Moderate
finely,7-8 years,Moderate
antique,9-10 years,Moderate
savannah,9-10 years,Moderate
coincide,9-10 years,Moderate
statewide,11-12 years,Moderate
relocate,9-10 years,Moderate
interim,9-10 years,Moderate
scam,5-6 years,Moderate
negatively,11-12 years,Hard
ie,5-6 years,Easy
horrific,9-10 years,Moderate
dispose,9-10 years,Moderate
strangely,11-12 years,Moderate
fearful,9-10 years,Moderate
pharmacy,9-10 years,Moderate
pancake,9-10 years,Moderate
hurdle,7-8 years,Moderate
prevalent,11-12 years,Moderate
leisure,9-10 years,Moderate
surge,7-8 years,Moderate
blunt,7-8 years,Moderate
insulin,9-10 years,Moderate
shepherd,9-10 years,Moderate
unusually,11-12 years,Moderate
contamination,11-12 years,Hard
mainland,9-10 years,Moderate
pasture,9-10 years,Moderate
pastry,7-8 years,Moderate
slack,7-8 years,Moderate
allegiance,11-12 years,Hard
coupon,7-8 years,Moderate
intermediate,11-12 years,Hard
premature,11-12 years,Moderate
formidable,11-12 years,Hard
inhale,7-8 years,Moderate
cellphone,11-12 years,Moderate
duck,5-6 years,Moderate
awe,5-6 years,Moderate
grad,5-6 years,Moderate
martial,9-10 years,Moderate
vineyard,9-10 years,Moderate
updated,9-10 years,Moderate
obscure,9-10 years,Moderate
shining,9-10 years,Moderate
gardening,11-12 years,Moderate
lace,5-6 years,Moderate
compartment,11-12 years,Hard
canned,7-8 years,Moderate
deepen,7-8 years,Moderate
broaden,9-10 years,Moderate
moan,5-6 years,Moderate
boot,5-6 years,Moderate
trillion,9-10 years,Moderate
woo,5-6 years,Moderate
gal,5-6 years,Moderate
ac,5-6 years,Easy
anonymity,11-12 years,Moderate
thereof,9-10 years,Moderate
mexican,9-10 years,Moderate
informant,11-12 years,Moderate
twisted,9-10 years,Moderate
homer,7-8 years,Moderate
triple,7-8 years,Moderate
razor,7-8 years,Moderate
moral,7-8 years,Moderate
fax,5-6 years,Moderate
righteous,11-12 years,Moderate
sturdy,7-8 years,Moderate
fungus,7-8 years,Moderate
baggage,9-10 years,Moderate
exacerbate,11-12 years,Hard
ineffective,11-12 years,Hard
layoff,7-8 years,Moderate
proceeds,9-10 years,Moderate
disgust,9-10 years,Moderate
extreme,9-10 years,Moderate
pundit,7-8 years,Moderate
setback,9-10 years,Moderate
multitude,11-12 years,Moderate
woe,5-6 years,Moderate
respectable,11-12 years,Hard
parenthood,11-12 years,Hard
inflammation,11-12 years,Hard
aspire,7-8 years,Moderate
adult,7-8 years,Moderate
hinder,7-8 years,Moderate
authoritarian,11-12 years,Hard
finished,9-10 years,Moderate
sync,5-6 years,Moderate
reversal,9-10 years,Moderate
wardrobe,9-10 years,Moderate
daytime,9-10 years,Moderate
implicate,11-12 years,Moderate
theoretically,11-12 years,Hard
intercourse,11-12 years,Hard
hue,5-6 years,Moderate
admittedly,11-12 years,Hard
playing,9-10 years,Moderate
vegan,7-8 years,Moderate
stuck,7-8 years,Moderate
shack,7-8 years,Moderate
degradation,11-12 years,Hard
jack,5-6 years,Moderate
flake,7-8 years,Moderate
trooper,9-10 years,Moderate
collide,9-10 years,Moderate
square,7-8 years,Moderate
alleviate,11-12 years,Moderate
parsley,9-10 years,Moderate
intensely,11-12 years,Moderate
delusion,9-10 years,Moderate
stew,5-6 years,Moderate
adaptive,9-10 years,Moderate
vapor,7-8 years,Moderate
liberalism,11-12 years,Hard
conjure,9-10 years,Moderate
annoy,7-8 years,Moderate
disable,9-10 years,Moderate
engaging,9-10 years,Moderate
rebound,9-10 years,Moderate
painted,9-10 years,Moderate
after,7-8 years,Moderate
embargo,9-10 years,Moderate
snapshot,9-10 years,Moderate
lecture,9-10 years,Moderate
rant,5-6 years,Moderate
swiftly,9-10 years,Moderate
taliban,9-10 years,Moderate
stupidity,11-12 years,Moderate
divorced,9-10 years,Moderate
infer,7-8 years,Moderate
insistence,11-12 years,Hard
immerse,9-10 years,Moderate
rugged,7-8 years,Moderate
conserve,9-10 years,Moderate
pant,5-6 years,Moderate
engaged,9-10 years,Moderate
humane,7-8 years,Moderate
booster,9-10 years,Moderate
reminiscent,11-12 years,Hard
iranian,9-10 years,Moderate
mislead,9-10 years,Moderate
nudge,7-8 years,Moderate
liner,7-8 years,Moderate
maverick,9-10 years,Moderate
commence,9-10 years,Moderate
exemplify,11-12 years,Moderate
curb,5-6 years,Moderate
imitation,11-12 years,Moderate
humility,9-10 years,Moderate
preseason,11-12 years,Moderate
marsh,7-8 years,Moderate
sweaty,7-8 years,Moderate
catalogue,11-12 years,Moderate
read,5-6 years,Moderate
initiation,11-12 years,Hard
shortcoming,11-12 years,Hard
normative,11-12 years,Moderate
cockpit,9-10 years,Moderate
needy,7-8 years,Moderate
reluctance,11-12 years,Hard
polished,9-10 years,Moderate
railing,9-10 years,Moderate
briefcase,11-12 years,Moderate
kitten,7-8 years,Moderate
swimmer,9-10 years,Moderate
momma,7-8 years,Moderate
battered,9-10 years,Moderate
hesitation,11-12 years,Hard
dial,5-6 years,Moderate
protestant,11-12 years,Hard
socialize,11-12 years,Moderate
magician,9-10 years,Moderate
goddamn,9-10 years,Moderate
sexist,7-8 years,Moderate
humidity,9-10 years,Moderate
boiling,9-10 years,Moderate
shudder,9-10 years,Moderate
spill,7-8 years,Moderate
linkage,9-10 years,Moderate
derivative,11-12 years,Hard
pinpoint,9-10 years,Moderate
thinly,7-8 years,Moderate
paperback,11-12 years,Moderate
ordeal,7-8 years,Moderate
relic,7-8 years,Moderate
ornament,9-10 years,Moderate
facet,7-8 years,Moderate
nervously,11-12 years,Moderate
graceful,9-10 years,Moderate
listening,11-12 years,Moderate
collective,11-12 years,Hard
enormously,11-12 years,Hard
repeat,7-8 years,Moderate
scenery,9-10 years,Moderate
dominican,11-12 years,Moderate
grouping,9-10 years,Moderate
envy,5-6 years,Moderate
headlight,11-12 years,Moderate
rainfall,9-10 years,Moderate
contour,9-10 years,Moderate
cavalry,9-10 years,Moderate
chalk,7-8 years,Moderate
geological,11-12 years,Hard
fulfillment,11-12 years,Hard
yeast,7-8 years,Moderate
mailbox,9-10 years,Moderate
protector,11-12 years,Moderate
slam,5-6 years,Moderate
apocalypse,11-12 years,Hard
shelter,9-10 years,Moderate
inflate,9-10 years,Moderate
affiliate,11-12 years,Moderate
mingle,7-8 years,Moderate
sexism,7-8 years,Moderate
shiite,7-8 years,Moderate
inconsistency,11-12 years,Hard
alphabet,9-10 years,Moderate
stylish,9-10 years,Moderate
fm,5-6 years,Easy
nonfiction,11-12 years,Hard
harness,9-10 years,Moderate
fasten,7-8 years,Moderate
lightweight,11-12 years,Hard
acknowledgment,11-12 years,Hard
denomination,11-12 years,Hard
longevity,11-12 years,Moderate
displacement,11-12 years,Hard
marxist,9-10 years,Moderate
heightened,11-12 years,Hard
man,5-6 years,Moderate
moderately,11-12 years,Hard
augment,9-10 years,Moderate
outnumber,11-12 years,Moderate
deacon,7-8 years,Moderate
interruption,11-12 years,Hard
ion,5-6 years,Moderate
cosmetic,9-10 years,Moderate
confidentiality,11-12 years,Hard
procession,11-12 years,Hard
dane,5-6 years,Moderate
memorandum,11-12 years,Hard
rum,5-6 years,Moderate
confide,9-10 years,Moderate
polish,7-8 years,Moderate
