lemma,PoS,freq,perMil,length,syllable_count,phonological_complexity,age_group,frequency_category,difficulty
intolerable,j,1947,1.96,11,5,1,11-12,high,easy
horizontally,r,1872,1.89,12,5,1,11-12,high,easy
unparalleled,j,1807,1.82,12,5,1,11-12,high,easy
reciprocity,n,1801,1.81,11,5,0,11-12,high,easy
uninterrupted,j,1649,1.66,13,5,2,11-12,high,easy
cosmopolitan,j,1642,1.65,12,5,0,11-12,high,easy
symbolically,r,1609,1.62,12,5,0,11-12,high,easy
appropriateness,n,1585,1.6,15,5,0,11-12,high,hard
offensively,r,1584,1.6,11,5,0,11-12,high,easy
misrepresentation,n,1553,1.56,17,6,1,11-12,high,hard
psychoanalysis,n,1507,1.52,14,5,1,11-12,high,easy
slaughterhouse,n,1496,1.51,14,3,2,11-12,high,easy
applicability,n,1456,1.47,13,6,0,11-12,high,easy
categorization,n,1436,1.45,14,6,0,11-12,high,easy
inconsequential,j,1423,1.43,15,5,1,11-12,high,hard
counterintuitive,j,1375,1.38,16,5,2,11-12,high,hard
extramarital,j,1372,1.38,12,5,0,11-12,high,easy
inextricably,r,1343,1.35,12,5,0,11-12,high,easy
undersecretary,n,1312,1.32,14,6,1,11-12,high,easy
degeneration,n,1299,1.31,12,5,0,11-12,high,easy
archipelago,n,1293,1.3,11,5,1,11-12,high,easy
astonishingly,r,1261,1.27,13,5,2,11-12,high,easy
indeterminate,j,1235,1.24,13,5,1,11-12,high,easy
supercomputer,n,1216,1.22,13,5,0,11-12,high,easy
intoxication,n,1209,1.22,12,5,1,11-12,high,easy
asymmetrical,j,1182,1.19,12,5,0,11-12,high,easy
incinerator,n,1180,1.19,11,5,0,11-12,high,easy
exclusivity,n,1138,1.15,11,5,0,11-12,high,easy
subordination,n,1105,1.11,13,5,0,11-12,high,easy
materialistic,j,1104,1.11,13,5,0,11-12,high,easy
inactivity,n,1101,1.11,10,5,0,11-12,high,easy
discontinuity,n,1080,1.09,13,5,1,11-12,high,easy
preconception,n,1053,1.06,13,4,0,11-12,high,easy
interconnected,j,1035,1.04,14,5,2,11-12,high,easy
jurisdictional,j,1020,1.03,14,5,0,11-12,high,easy
manipulator,n,998,1.01,11,5,0,11-12,high,easy
unrecognized,j,986,0.99,12,5,1,11-12,high,easy
exasperated,j,979,0.99,11,5,1,11-12,high,easy
unmistakably,r,969,0.98,12,5,0,11-12,high,easy
sarcastically,r,959,0.97,13,5,0,11-12,high,easy
schizophrenic,j,887,0.89,13,4,2,11-12,high,easy
exhilaration,n,859,0.87,12,5,0,11-12,high,easy
diplomatically,r,847,0.85,14,6,0,11-12,high,easy
materiality,n,846,0.85,11,5,0,11-12,high,easy
relativistic,j,824,0.83,12,5,0,11-12,high,easy
unambiguously,r,808,0.81,13,5,1,11-12,high,easy
competitively,r,807,0.81,13,6,0,11-12,high,easy
misinterpretation,n,802,0.81,17,6,1,11-12,high,hard
disillusioned,j,798,0.8,13,5,1,11-12,high,easy
uninteresting,j,792,0.8,13,5,2,11-12,high,easy
uncharacteristic,j,785,0.79,16,6,1,11-12,high,hard
heterosexual,n,765,0.77,12,5,0,11-12,high,easy
pathogenesis,n,751,0.76,12,5,0,11-12,high,easy
confirmatory,j,743,0.75,12,5,0,11-12,high,easy
precipitously,r,728,0.73,13,5,1,11-12,high,easy
encephalitis,n,728,0.73,12,5,1,11-12,high,easy
redefinition,n,726,0.73,12,5,1,11-12,high,easy
irrevocable,j,721,0.73,11,5,0,11-12,high,easy
linguistically,r,711,0.72,14,5,1,11-12,high,easy
expressionless,j,710,0.71,14,4,0,11-12,high,easy
underappreciated,j,705,0.71,16,6,2,11-12,high,hard
counterweight,n,703,0.71,13,3,3,11-12,high,easy
evaluation,n,699,0.7,10,5,0,11-12,high,easy
denominational,j,675,0.68,14,6,0,11-12,high,easy
constructively,r,674,0.68,14,5,1,11-12,high,easy
paternalistic,j,673,0.68,13,5,0,11-12,high,easy
radicalization,n,665,0.67,14,6,0,11-12,high,easy
compartmentalize,v,654,0.66,16,5,1,11-12,high,hard
obstructionist,n,652,0.66,14,4,1,11-12,high,easy
egalitarianism,n,632,0.64,14,6,0,11-12,high,easy
inconspicuous,j,629,0.63,13,4,1,11-12,high,easy
uninitiated,j,624,0.63,11,5,1,11-12,high,easy
republicanism,n,618,0.62,13,5,0,11-12,high,easy
orchestration,n,599,0.6,13,4,2,11-12,high,easy
forgetfulness,n,596,0.6,13,4,0,11-12,high,easy
deceleration,n,593,0.6,12,5,0,11-12,high,easy
policyholder,n,592,0.6,12,5,0,11-12,high,easy
psychoanalyst,n,588,0.59,13,4,1,11-12,high,easy
incapacity,n,587,0.59,10,5,0,11-12,high,easy
customizable,j,581,0.59,12,5,0,11-12,high,easy
encyclopedic,j,569,0.57,12,5,1,11-12,high,easy
infallibility,n,567,0.57,13,6,0,11-12,high,easy
homeschooling,n,566,0.57,13,4,2,11-12,high,easy
intoxicated,j,563,0.57,11,5,2,11-12,high,easy
complementarity,n,555,0.56,15,6,1,11-12,high,hard
unceremoniously,r,540,0.54,15,6,1,11-12,high,hard
overstatement,n,535,0.54,13,5,1,11-12,high,easy
metacognitive,j,522,0.53,13,5,0,11-12,high,easy
disenfranchisement,n,521,0.52,18,6,2,11-12,high,hard
stylistically,r,519,0.52,13,5,0,11-12,high,easy
thoughtfulness,n,518,0.52,14,3,3,11-12,high,easy
quintessentially,r,515,0.52,16,5,1,11-12,high,hard
misidentify,v,512,0.52,11,5,1,11-12,high,easy
optimistically,r,491,0.49,14,6,0,11-12,high,easy
internationalization,n,476,0.48,20,8,1,11-12,high,hard
ventriloquist,n,464,0.47,13,4,1,11-12,high,easy
tonsillectomy,n,454,0.46,13,5,0,11-12,high,easy
examination,n,449,0.45,11,5,0,11-12,high,easy
rehabilitative,j,447,0.45,14,6,0,11-12,high,easy
decriminalize,v,439,0.44,13,5,0,11-12,high,easy
glorification,n,436,0.44,13,5,0,11-12,high,easy
nonrenewable,j,434,0.44,12,5,0,11-12,high,easy
telenovela,n,423,0.43,10,5,0,11-12,high,easy
endocrinologist,n,422,0.42,15,6,1,11-12,high,hard
architecturally,r,417,0.42,15,6,1,11-12,high,hard
preferentially,r,415,0.42,14,5,1,11-12,high,easy
teleconference,n,412,0.41,14,5,0,11-12,high,easy
pragmatically,r,406,0.41,13,5,0,11-12,high,easy
polypropylene,n,399,0.4,13,5,0,11-12,medium,moderate
angiogenesis,n,398,0.4,12,5,0,11-12,medium,moderate
monounsaturated,j,396,0.4,15,6,2,11-12,medium,hard
immobility,n,389,0.39,10,5,0,11-12,medium,moderate
microcomputer,n,386,0.39,13,5,0,11-12,medium,moderate
hermeneutical,j,385,0.39,13,5,0,11-12,medium,moderate
neuromuscular,j,385,0.39,13,5,0,11-12,medium,moderate
extrajudicial,j,385,0.39,13,5,0,11-12,medium,moderate
incorrigible,j,384,0.39,12,5,0,11-12,medium,moderate
surreptitious,j,382,0.38,13,4,1,11-12,medium,moderate
impulsivity,n,378,0.38,11,5,0,11-12,medium,moderate
daguerreotype,n,376,0.38,13,4,0,11-12,medium,moderate
disheartening,j,373,0.3,13,4,2,11-12,medium,moderate
securitization,n,371,0.37,14,6,0,11-12,medium,moderate
immunotherapy,n,371,0.37,13,6,0,11-12,medium,moderate
acupuncturist,n,370,0.37,13,5,0,11-12,medium,moderate
undistinguished,j,368,0.37,15,5,4,11-12,medium,hard
electrochemical,j,368,0.37,15,6,1,11-12,medium,hard
explanatory,j,366,0.37,11,5,0,11-12,medium,moderate
maximization,n,364,0.37,12,5,0,11-12,medium,moderate
explosively,r,362,0.36,11,5,0,11-12,medium,moderate
chromatography,n,352,0.35,14,5,2,11-12,medium,moderate
mortification,n,348,0.35,13,5,0,11-12,medium,moderate
incomprehension,n,345,0.35,15,5,0,11-12,medium,hard
telemedicine,n,344,0.35,12,5,1,11-12,medium,moderate
semicircular,j,343,0.35,12,5,0,11-12,medium,moderate
irreversibly,r,343,0.35,12,5,0,11-12,medium,moderate
electability,n,335,0.34,12,6,0,11-12,medium,moderate
revolutionary,j,334,0.34,13,6,0,11-12,medium,moderate
recognizably,r,333,0.34,12,5,0,11-12,medium,moderate
devastatingly,r,331,0.33,13,5,1,11-12,medium,moderate
inexpensively,r,327,0.33,13,6,0,11-12,medium,moderate
uncontroversial,j,327,0.33,15,5,1,11-12,medium,hard
transboundary,j,325,0.33,13,4,2,11-12,medium,moderate
marginality,n,324,0.33,11,5,0,11-12,medium,moderate
sensationalize,v,323,0.33,14,5,0,11-12,medium,moderate
majestically,r,323,0.33,12,5,0,11-12,medium,moderate
unrealistically,r,320,0.32,15,6,0,11-12,medium,hard
assimilated,j,316,0.32,11,5,1,11-12,medium,moderate
authoritarian,n,315,0.32,13,5,0,11-12,medium,moderate
electrophoresis,n,314,0.32,15,6,1,11-12,medium,hard
underreporting,n,313,0.32,14,5,2,11-12,medium,moderate
indifferently,r,309,0.31,13,5,2,11-12,medium,moderate
statesmanship,n,306,0.31,13,4,1,11-12,medium,moderate
benzodiazepine,n,293,0.3,14,5,0,11-12,medium,moderate
disequilibrium,n,292,0.29,14,5,0,11-12,medium,moderate
gerrymandering,n,282,0.28,14,5,2,11-12,medium,moderate
universalist,j,276,0.28,12,5,0,11-12,medium,moderate
kaleidoscopic,j,276,0.28,13,5,0,11-12,medium,moderate
mesoamerican,j,272,0.27,12,5,0,11-12,medium,moderate
inflexibility,n,271,0.27,13,6,0,11-12,medium,moderate
magnanimity,n,271,0.27,11,5,0,11-12,medium,moderate
bestiality,n,270,0.27,10,5,0,11-12,medium,moderate
procrastinator,n,265,0.27,14,5,0,11-12,medium,moderate
shortsightedness,n,262,0.26,16,4,3,11-12,medium,hard
adventuresome,j,261,0.26,13,5,1,11-12,medium,moderate
constructionist,n,259,0.26,15,4,1,11-12,medium,hard
otolaryngology,n,258,0.26,14,7,0,11-12,medium,moderate
interventionism,n,255,0.26,15,5,1,11-12,medium,hard
concessionaire,n,254,0.26,14,4,0,11-12,medium,moderate
interscholastic,j,254,0.26,15,5,2,11-12,medium,hard
telepathically,r,253,0.25,14,6,0,11-12,medium,moderate
circumspection,n,253,0.25,14,4,0,11-12,medium,moderate
echolocation,n,250,0.25,12,5,1,11-12,medium,moderate
westernization,n,250,0.25,14,5,0,11-12,medium,moderate
overexposure,n,248,0.25,12,5,0,11-12,medium,moderate
islamization,n,243,0.24,12,5,0,11-12,medium,moderate
phosphorescent,j,243,0.24,14,4,2,11-12,medium,moderate
reconstituted,j,243,0.24,13,5,1,11-12,medium,moderate
elicitation,n,242,0.24,11,5,0,11-12,medium,moderate
circumscribed,j,241,0.24,13,4,1,11-12,medium,moderate
mesothelioma,n,238,0.24,12,5,0,11-12,medium,moderate
phonetically,r,236,0.24,12,5,1,11-12,medium,moderate
originalist,n,236,0.24,11,5,0,11-12,medium,moderate
directionality,n,235,0.24,14,6,0,11-12,medium,moderate
elementary,j,233,0.23,10,5,1,11-12,medium,moderate
cardiorespiratory,j,229,0.23,17,7,0,11-12,medium,hard
electioneering,n,227,0.23,14,5,1,11-12,medium,moderate
presumptively,r,227,0.23,13,5,0,11-12,medium,moderate
creditworthiness,n,226,0.23,16,5,1,11-12,medium,hard
unconscionability,n,226,0.23,17,7,0,11-12,medium,hard
demoralized,j,224,0.23,11,5,1,11-12,medium,moderate
pentecostalism,n,223,0.22,14,5,1,11-12,medium,moderate
agglomeration,n,222,0.22,13,5,0,11-12,medium,moderate
feminization,n,219,0.22,12,5,0,11-12,medium,moderate
neurodevelopmental,j,216,0.22,18,7,1,11-12,medium,hard
metallurgical,j,215,0.22,13,5,0,11-12,medium,moderate
intersubjective,j,214,0.22,15,5,1,11-12,medium,hard
posttreatment,n,212,0.21,13,3,1,11-12,medium,moderate
immunologist,n,211,0.21,12,5,0,11-12,medium,moderate
norepinephrine,n,209,0.21,14,5,1,11-12,medium,moderate
ornithology,n,205,0.21,11,5,0,11-12,medium,moderate
acoustically,r,203,0.2,12,5,1,11-12,medium,moderate
anticoagulation,n,202,0.2,15,6,1,11-12,medium,hard
animatedly,r,200,0.2,10,5,1,11-12,medium,moderate
articulatory,j,199,0.2,12,6,0,11-12,medium,moderate
substantiation,n,199,0.2,14,4,1,11-12,medium,moderate
inaccessibility,n,198,0.2,15,7,0,11-12,medium,hard
elusiveness,n,195,0.2,11,5,0,11-12,medium,moderate
papillomavirus,n,194,0.2,14,6,0,11-12,medium,moderate
agoraphobia,n,194,0.2,11,5,1,11-12,medium,moderate
university,j,194,0.2,10,5,0,11-12,medium,moderate
spectatorship,n,193,0.19,13,4,1,11-12,medium,moderate
assertively,r,192,0.19,11,5,0,11-12,medium,moderate
emancipated,j,192,0.19,11,5,1,11-12,medium,moderate
neurobiological,j,190,0.19,15,6,0,11-12,medium,hard
disability,j,189,0.19,10,5,0,11-12,medium,moderate
accommodationist,n,188,0.19,16,6,0,11-12,medium,hard
washingtonian,j,188,0.19,13,4,2,11-12,medium,moderate
immunocompromised,j,186,0.19,17,7,1,11-12,medium,hard
tortoiseshell,n,185,0.19,13,4,1,11-12,medium,moderate
multivariable,j,185,0.19,13,5,0,11-12,medium,moderate
interactively,r,184,0.19,13,6,1,11-12,medium,moderate
sensitization,n,181,0.18,13,5,0,11-12,medium,moderate
dexamethasone,n,180,0.18,13,5,0,11-12,medium,moderate
bootstrapping,n,179,0.18,13,3,2,11-12,medium,moderate
protectiveness,n,175,0.18,14,5,0,11-12,medium,moderate
mummification,n,173,0.17,13,5,0,11-12,medium,moderate
postmodernity,n,173,0.17,13,5,0,11-12,medium,moderate
epigenetics,n,172,0.17,11,5,0,11-12,medium,moderate
telekinesis,n,171,0.17,11,5,0,11-12,medium,moderate
constabulary,n,168,0.17,12,5,0,11-12,medium,moderate
oligopoly,n,167,0.17,9,5,0,11-12,medium,moderate
nonrespondent,n,161,0.16,13,4,2,11-12,medium,moderate
voluntariness,n,160,0.16,13,5,1,11-12,medium,moderate
experientially,r,157,0.16,14,5,2,11-12,medium,moderate
irredeemably,r,154,0.16,12,5,1,11-12,medium,moderate
telekinetic,j,152,0.15,11,5,0,11-12,medium,moderate
twentysomething,j,151,0.15,15,5,2,11-12,medium,hard
endolymphatic,j,151,0.15,13,5,2,11-12,medium,moderate
declassification,n,149,0.15,16,6,0,11-12,medium,hard
therapeutically,r,148,0.15,15,6,0,11-12,medium,hard
fraternization,n,146,0.15,14,5,0,11-12,medium,moderate
unfavourable,j,145,0.15,12,5,1,11-12,medium,moderate
echocardiogram,n,144,0.15,14,5,1,11-12,medium,moderate
indescribably,r,143,0.14,13,5,1,11-12,medium,moderate
recalibration,n,143,0.14,13,5,0,11-12,medium,moderate
unmercifully,r,142,0.14,12,5,0,11-12,medium,moderate
distractibility,n,141,0.14,15,6,1,11-12,medium,hard
teleconferencing,n,139,0.14,16,6,1,11-12,low,hard
nanostructure,n,139,0.14,13,4,1,11-12,low,hard
programmatically,r,138,0.14,16,6,0,11-12,low,hard
cardinality,n,138,0.14,11,5,0,11-12,low,hard
intercessory,j,138,0.14,12,5,1,11-12,low,hard
corporeality,n,137,0.14,12,5,0,11-12,low,hard
nearsightedness,n,136,0.14,15,4,2,11-12,low,hard
antimicrobial,n,136,0.14,13,5,1,11-12,low,hard
disassociation,n,135,0.14,14,5,0,11-12,low,hard
reappointment,n,134,0.13,13,3,1,11-12,low,hard
affectively,r,134,0.13,11,5,0,11-12,low,hard
underperformance,n,134,0.13,16,5,1,11-12,low,hard
intersectional,j,133,0.13,14,5,1,11-12,low,hard
performativity,n,132,0.13,14,6,0,11-12,low,hard
optimality,n,132,0.13,10,5,0,11-12,low,hard
reproductively,r,131,0.13,14,6,0,11-12,low,hard
weaponization,n,129,0.13,13,5,0,11-12,low,hard
idiotically,r,129,0.13,11,5,0,11-12,low,hard
megalopolis,n,129,0.13,11,5,0,11-12,low,hard
oscillatory,j,129,0.13,11,5,0,11-12,low,hard
ceremonially,r,127,0.13,12,5,0,11-12,low,hard
ungrammatical,j,125,0.13,13,5,0,11-12,low,hard
recirculation,n,124,0.12,13,5,0,11-12,low,hard
phytonutrient,n,124,0.12,13,4,3,11-12,low,hard
integrationist,n,123,0.12,14,5,1,11-12,low,hard
unwaveringly,r,122,0.12,12,5,1,11-12,low,hard
territorially,r,121,0.12,13,5,0,11-12,low,hard
prosecutable,j,120,0.12,12,5,0,11-12,low,hard
preprogrammed,j,120,0.12,13,4,1,11-12,low,hard
reproachfully,r,120,0.12,13,4,1,11-12,low,hard
promiscuously,r,118,0.12,13,4,1,11-12,low,hard
defibrillation,n,118,0.12,14,5,0,11-12,low,hard
recordkeeping,n,118,0.12,13,4,1,11-12,low,hard
bisphosphonate,n,117,0.12,14,4,1,11-12,low,hard
adiponectin,n,117,0.12,11,5,0,11-12,low,hard
presentational,j,116,0.12,14,5,1,11-12,low,hard
mistranslation,n,116,0.12,14,4,1,11-12,low,hard
hypnotherapy,n,116,0.12,12,5,0,11-12,low,hard
pointlessness,n,115,0.12,13,3,1,11-12,low,hard
apolipoprotein,n,113,0.11,14,6,0,11-12,low,hard
innovativeness,n,112,0.11,14,6,0,11-12,low,hard
unsystematic,j,111,0.11,12,5,0,11-12,low,hard
consolidator,n,111,0.11,12,5,0,11-12,low,hard
scholasticism,n,111,0.11,13,4,1,11-12,low,hard
interpenetration,n,110,0.11,16,6,1,11-12,low,hard
heterogenous,j,109,0.11,12,5,1,11-12,low,hard
ineluctably,r,109,0.11,11,5,0,11-12,low,hard
frenetically,r,109,0.11,12,5,0,11-12,low,hard
hydrocephalus,n,109,0.11,13,5,1,11-12,low,hard
emasculation,n,108,0.11,12,5,0,11-12,low,hard
multiprocessor,n,106,0.11,14,5,0,11-12,low,hard
ascertainment,n,106,0.11,13,4,1,11-12,low,hard
immobilized,j,106,0.11,11,5,1,11-12,low,hard
relationally,r,105,0.11,12,5,0,11-12,low,hard
substantiated,j,105,0.11,13,4,2,11-12,low,hard
patellofemoral,j,105,0.11,14,6,0,11-12,low,hard
biopharmaceutical,j,104,0.1,17,6,1,11-12,low,hard
extrasensory,j,103,0.1,12,5,0,11-12,low,hard
aerodynamically,r,101,0.1,15,7,0,11-12,low,hard
problematically,r,101,0.1,15,6,0,11-12,low,hard
incommunicado,r,100,0.1,13,6,0,11-12,low,hard
hypercompetitive,j,98,0.1,16,6,0,11-12,low,hard
untranslatable,j,97,0.1,14,5,1,11-12,low,hard
evasiveness,n,97,0.1,11,5,0,11-12,low,hard
cryopreservation,n,96,0.1,16,5,0,11-12,low,hard
transmissibility,n,96,0.1,16,6,0,11-12,low,hard
idiosyncracy,n,95,0.1,12,5,0,11-12,low,hard
administering,j,95,0.1,13,5,1,11-12,low,hard
corroborative,j,94,0.09,13,5,0,11-12,low,hard
undernutrition,n,94,0.09,14,5,1,11-12,low,hard
keratinocyte,n,94,0.09,12,5,0,11-12,low,hard
hypogonadism,n,92,0.09,12,5,0,11-12,low,hard
instinctually,r,92,0.09,13,4,0,11-12,low,hard
laboratory,j,92,0.09,10,5,0,11-12,low,hard
symbolization,n,91,0.09,13,5,0,11-12,low,hard
particularist,n,90,0.09,13,5,0,11-12,low,hard
oligodendrocyte,n,90,0.09,15,6,1,11-12,low,hard
otolaryngologic,j,90,0.09,15,7,0,11-12,low,hard
ventilatory,j,90,0.09,11,5,1,11-12,low,hard
stimulatory,j,89,0.09,11,5,0,11-12,low,hard
sigmoidoscopy,n,89,0.09,13,5,0,11-12,low,hard
interprofessional,j,88,0.09,17,6,1,11-12,low,hard
transformation,n,88,0.09,14,4,0,11-12,low,hard
imponderable,j,88,0.09,12,5,1,11-12,low,hard
spasmodically,r,87,0.09,13,5,0,11-12,low,hard
immunosorbent,j,87,0.09,13,5,1,11-12,low,hard
melodically,r,87,0.09,11,5,0,11-12,low,hard
deontological,j,87,0.09,13,5,1,11-12,low,hard
overtreatment,n,86,0.09,13,4,1,11-12,low,hard
mycobacteria,n,86,0.09,12,5,0,11-12,low,hard
illogically,r,86,0.09,11,5,0,11-12,low,hard
ecophysiological,j,85,0.09,16,7,1,11-12,low,hard
parthenogenesis,n,85,0.09,15,6,0,11-12,low,hard
coevolutionary,j,84,0.08,14,6,0,11-12,low,hard
unresponsiveness,n,84,0.08,16,6,0,11-12,low,hard
plasmacytoma,n,82,0.08,12,5,0,11-12,low,hard
homogeneously,r,82,0.08,13,5,1,11-12,low,hard
gratification,n,81,0.08,13,5,0,11-12,low,hard
microwavable,j,81,0.08,12,5,0,11-12,low,hard
commensurately,r,81,0.08,14,6,0,11-12,low,hard
plenipotentiary,j,80,0.08,15,6,1,11-12,low,hard
dollarization,n,80,0.08,13,5,0,11-12,low,hard
anesthetized,j,78,0.08,12,5,1,11-12,low,hard
quasiparticle,n,78,0.08,13,5,0,11-12,low,hard
underqualified,j,77,0.08,14,5,3,11-12,low,hard
extraterritoriality,n,77,0.08,19,8,0,11-12,low,hard
meditatively,r,76,0.08,12,6,1,11-12,low,hard
undervaluation,n,76,0.08,14,5,1,11-12,low,hard
determinable,j,75,0.08,12,5,0,11-12,low,hard
inconsolably,r,74,0.07,12,5,0,11-12,low,hard
interactionist,n,73,0.07,14,5,1,11-12,low,hard
phosphatidylserine,n,73,0.07,18,6,1,11-12,low,hard
derivational,j,72,0.07,12,5,0,11-12,low,hard
photodetector,n,72,0.07,13,5,1,11-12,low,hard
reimportation,n,72,0.07,13,4,0,11-12,low,hard
knuckleballer,n,72,0.07,13,4,1,11-12,low,hard
gynaecologist,n,71,0.07,13,5,0,11-12,low,hard
parameterization,n,71,0.07,16,7,0,11-12,low,hard
creditability,n,71,0.07,13,6,1,11-12,low,hard
docosahexaenoic,j,71,0.07,15,6,0,11-12,low,hard
primogeniture,n,71,0.07,13,5,0,11-12,low,hard
adjudicatory,j,70,0.07,12,6,0,11-12,low,hard
nonmetropolitan,j,70,0.07,15,6,0,11-12,low,hard
transtheoretical,j,69,0.07,16,5,0,11-12,low,hard
hypervigilance,n,69,0.07,14,5,0,11-12,low,hard
divinatory,j,69,0.07,10,5,0,11-12,low,hard
falsifiability,n,69,0.07,14,6,0,11-12,low,hard
microhabitat,n,68,0.07,12,5,0,11-12,low,hard
philosophizing,n,68,0.07,14,5,2,11-12,low,hard
monomaniacal,j,68,0.07,12,5,0,11-12,low,hard
innovatively,r,68,0.07,12,6,0,11-12,low,hard
unpresidential,j,67,0.07,14,5,1,11-12,low,hard
lightheartedly,r,66,0.07,14,4,2,11-12,low,hard
grandiloquent,j,66,0.07,13,4,2,11-12,low,hard
gynaecology,n,65,0.07,11,5,0,11-12,low,hard
recirculating,j,64,0.06,13,5,1,11-12,low,hard
abstractionist,n,64,0.06,14,4,1,11-12,low,hard
secretively,r,64,0.06,11,5,0,11-12,low,hard
fluorescently,r,64,0.06,13,4,1,11-12,low,hard
differentiable,j,63,0.06,14,5,1,11-12,low,hard
ethnomusicology,n,63,0.06,15,7,0,11-12,low,hard
chromatographic,j,62,0.06,15,5,2,11-12,low,hard
unfalsifiable,j,62,0.06,13,5,0,11-12,low,hard
volcanically,r,62,0.06,12,5,0,11-12,low,hard
endovascular,j,62,0.06,12,5,1,11-12,low,hard
disinterestedness,n,60,0.06,17,6,2,11-12,low,hard
overcompensation,n,60,0.06,16,6,0,11-12,low,hard
topographically,r,60,0.06,15,6,1,11-12,low,hard
irremediably,r,59,0.06,12,5,1,11-12,low,hard
climatically,r,59,0.06,12,5,0,11-12,low,hard
dehumanized,j,58,0.06,11,5,1,11-12,low,hard
nonsupportive,j,58,0.06,13,4,0,11-12,low,hard
unpremeditated,j,58,0.06,14,6,1,11-12,low,hard
hagiographical,j,58,0.06,14,5,1,11-12,low,hard
supportiveness,n,58,0.06,14,5,0,11-12,low,hard
topicality,n,58,0.06,10,5,0,11-12,low,hard
battlecruiser,n,56,0.06,13,4,0,11-12,low,hard
reinvestigate,v,55,0.06,13,4,0,11-12,low,hard
eicosapentaenoic,j,55,0.06,16,6,1,11-12,low,hard
bewilderingly,r,55,0.06,13,5,1,11-12,low,hard
antidiabetic,j,55,0.06,12,5,1,11-12,low,hard
contaminating,j,55,0.06,13,5,2,11-12,low,hard
chloramphenicol,n,55,0.06,15,5,2,11-12,low,hard
subversively,r,55,0.06,12,5,0,11-12,low,hard
cyanobacterial,j,55,0.06,14,5,0,11-12,low,hard
principalship,n,54,0.05,13,4,1,11-12,low,hard
developable,j,54,0.05,11,5,0,11-12,low,hard
cardiometabolic,j,54,0.05,15,6,0,11-12,low,hard
osteoarthritic,j,54,0.05,14,4,1,11-12,low,hard
hyperbolically,r,54,0.05,14,6,0,11-12,low,hard
